Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
,,,,推,yjching,: 收到兩隻都是2017 只有一隻是2016,11/15 17:51
,,,,推,kiwi423,: 收到三支都是2017製造的,11/15 18:04
,,,,推,linda010786,: 樓上 2016是製造日期？？,11/15 18:05
,,,,推,irene8462,: 是製造日期 我也覺得還好都是今年的,11/15 18:07
,,,,推,t141256,: 收到三支製造日期都是今年,11/15 18:22
,,,,推,misusi,: 我買八隻五隻2015三隻2016QQ,11/15 19:45
,,,,推,mumumeo,: 反正不管效期多久都用不完啊XDD,11/15 20:26
,,,,推,bluerain0716,: 樓上真相w,11/15 21:41
,,,,推,nancy30123,: 我買粉餅到2018.08、璀璨唇膏到2020.0,11/16 08:02
,,,,→,QQmouse,: 其實從前幾天三折那篇一直持續到現在,11/15 16:05
,,,,→,t781226,: 真假!!原來是我lag了,11/15 16:06
,,,,→,whethercan,: 恢復原價了耶,11/15 16:12
,,,,→,may820806,: 計較這幹嘛,11/15 17:23
,,,,→,linda010786,: 哇是樓上上,11/15 18:05
,,,,→,nancy30123,: 6,11/16 08:02
whethercan (偉特糖),[情報] 露華濃PCHome三折！品項超齊全！,Fri Nov 10 15:49:31 2017,禮拜五上班真的很崩潰...偷滑手機的時候發現PCHome又開始做露華濃三折！！！這次品項超齊全！超有誠意,推,Christinaa,: 超持色沒了哭哭！請求版友建議買什麼,11/10 16:00
,,,,推,irene8462,: 一分享就缺貨啦阿阿阿嗚嗚嗚,11/10 16:03
,,,,推,lin215,: 謝謝情報......本來說好不要再亂花錢了,11/10 16:05
,,,,推,wu19961224,: 買了很多唇彩xD,11/10 16:06
,,,,推,dinter9921,: 謝謝 已買XD,11/10 16:09
,,,,推,e840128,: 謝謝分享~~已買,11/10 16:10
,,,,推,catyoyon,: 感謝分享 買了很多唇彩XD,11/10 16:17
,,,,推,irene8462,: 好想要325喔QQ,11/10 16:18
,,,,推,Abigale083,: 好有誠意 謝謝分享,11/10 16:19
,,,,推,pandachu,: 立馬下單！手腳太慢#630、#325沒了嗚,11/10 16:19
,,,,推,t141256,: 推 謝謝分享,11/10 16:20
,,,,推,cindyhey,: 想要的色號都沒了QQ,11/10 16:21
,,,,推,fivedotfive,: 想買的都沒了 想哭QQ,11/10 16:23
,,,,推,tifas,: 立馬下單5支限量唇彩(握拳)，感謝大大分享,11/10 16:35
,,,,推,sheling77,: 一直搶一直缺貨QQ,11/10 16:35
,,,,推,orciekakdm,: 謝謝分享~~,11/10 16:39
,,,,推,anny1031,: 想要的都沒貨了QQ,11/10 16:40
,,,,推,tingover,: 感覺10年不用買唇膏了,11/10 16:41
,,,,推,Amoebababa,: 不管3721都買XDDX,11/10 16:54
,,,,推,linnnnnn,: 想要的都沒了會補貨嗎哭哭,11/10 16:57
,,,,推,Cyn0314,: 感謝分享,11/10 16:58
,,,,推,vivirinka,: 很扯,11/10 16:58
,,,,推,bananas1022,: 沒買露華濃，買了wnw rzO,11/10 17:02
,,,,推,amy99778,,11/10 17:21
,,,,推,skeeter,: 私心推睫毛膏,11/10 17:26
,,,,推,c246823,: 感謝原po,11/10 17:37
,,,,推,madge1986,: 感謝原po,11/10 17:55
,,,,推,azraelflora,: 有璀璨系列的唇膏！而且好便宜，但是,11/10 17:57
,,,,推,rozen724,: 72元超扯好便宜喔哈哈,11/10 18:10
,,,,推,Kenko323,: 也太便宜，但我露華濃璀璨在85折時幾乎,11/10 18:16
,,,,推,Christinaa,: memebox官網也在特價！,11/10 18:21
,,,,推,daihsiaoyuan,: 都缺貨了QAQ,11/10 18:51
,,,,推,alien200020,: 也太便宜！,11/10 18:53
,,,,推,yjching,: 訂完七隻迅速關掉好罪惡啊,11/10 19:05
,,,,推,naivechild,: 好好買啊！！幫我媽買了一堆,11/10 19:05
,,,,推,abstract1717,: 都缺貨了QAq,11/10 19:33
,,,,推,EydieLin,: 感謝分享 4唇膏+3指彩共530而已 便宜到,11/10 19:59
,,,,推,applebebe,: 缺貨QQ,11/10 20:23
,,,,推,yangbaobao,: 感謝 真的便宜到哭,11/10 21:35
,,,,推,xxxorc,: 用BrowserCast 分享好妝品,11/10 21:41
,,,,推,poenur,: 嗚嗚太晚看到了,11/10 21:44
,,,,推,micgis,: 超便宜！！,11/10 23:19
,,,,推,yoee0528,: 太晚看到 想要的色號都缺貨了 嗚嗚,11/11 01:17
,,,,推,Christinaa,: 已經收到了哈哈,11/11 10:28
,,,,推,minicc,: 收到唇膏了＋1,11/11 11:48
,,,,推,lelechiba,: 收到了，謝謝原po,11/11 11:51
,,,,推,lilikeeeee,: 已下訂 謝謝原po,11/11 13:04
,,,,推,rosiesmmm,: 也太便宜!!,11/11 13:41
,,,,推,LaReine,: 買了十盒染髮劑和八支唇彩 感謝分享,11/11 16:27
,,,,推,leeting090,: 都沒貨QQ,11/11 19:08
,,,,推,Karen8522801,: 網頁裡有寫有些是即期品和瑕疵品喔,11/12 00:43
,,,,推,spicy305,: 誇張便宜XD,11/12 16:40
,,,,→,Christinaa,: 我點彩妝分類，wet n wild也有便宜,11/10 16:01
,,,,→,jcchou1,: 沒有color stay,11/10 16:36
,,,,→,amy99778,: 感謝原po,11/10 17:21
,,,,→,azraelflora,: 應該沒了吧,11/10 17:57
,,,,→,Kenko323,: 都包色了,11/10 18:16
,,,,→,smallay7,: 缺貨一堆,11/10 19:19
,,,,→,EydieLin,: 想哭,11/10 19:59
,,,,→,xxxorc,,11/10 21:42
,,,,→,Karen8522801,: ！,11/12 00:43
,,,,→,sugardai,: 買好多睫毛膏！,11/12 02:42
,,,,→,c246823,: 收到了但有的期限只剩一年多QQ,11/13 13:16
vivilin1203 (vivilin),[問題] Dior豐漾潤唇蜜in pchome,Wed Jan 27 00:12:09 2016,請問各位～在pchome上的潤唇蜜是正貨嗎？ 有人買過嗎@@最近被燒到... 又不敢去櫃上看><,推,flute9th,: 為什麼不敢去？不過這唇蜜就很中規中矩,01/27 00:34
,,,,推,yayaw,: 怕就專櫃買 直接走過去說你要買這個呀～,01/27 00:48
,,,,推,savilin,: 覺得這個蠻普通的,01/27 23:43
,,,,→,j7765739,: 怕的話就去專櫃買吧,01/27 00:27
,,,,→,flute9th,: ，去試了應該也沒有太大感覺，就涼涼的,01/27 00:34
,,,,→,flute9th,: ，沒什麼顏色,01/27 00:34
,,,,→,vivilin1203,: 這個沒有像唇膏那麼需要試，只是覺得,01/27 00:45
,,,,→,vivilin1203,: pc比較便宜@@,01/27 00:45
,,,,→,liltt,: 我就有靠櫃試…你不試怎麼知道質地你喜不喜,01/27 03:23
,,,,→,liltt,: 歡？,01/27 03:23
