Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
,,,,→,trywish,: 開二階段，其實是你被盜，對方也登不了。,05/29 22:40
BlueBird5566 ( 唯一支持賴清德),Re: [新聞] 巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認,Mon May 29 20:59:37 2023,試一萬多次也還好我有個朋友 他媽媽是女明星 後來被粉絲殺了他懷疑是某個跟他媽有一腿的男子搞的鬼想要從他媽的手機找出線索但他不知道他媽的手機密碼他就這樣試啊試  試了45510次才解開了他媽的手機一共花了四年,推,deathbead,: 有吃媽媽的奶嗎？,05/29 22:12
,,,,→,glen246,,05/29 21:02
,,,,噓,sars7125889,: 哪部糞作 幹,05/29 21:00
,,,,噓,coon182,: 臭死,05/29 21:00
,,,,噓,chadmu,: 左轉臭板,05/29 21:06
ezJapan (Japan),[新聞] 巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認罪：,Mon May 29 20:49:12 2023,1.媒體來源:nextapple2.記者署名:記者丁牧群／台北報導3.完整新聞標題:巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認罪：我試了1萬多次密碼4.完整新聞內文:巴哈姆特電玩資訊站的程姓女版主因故刪除玩家余男的貼文，不料余男為報復程女，竟破解她的網路帳號密碼，入侵蝦皮、中華電信網站把密碼改掉，還將程女的市話及2個手機門號申請停話。余男挨告後承認惡搞程女並說：「我試了一萬多次密碼。」刑事部分，法院已依偽造文書等罪判余男5月徒刑，得易科罰金15萬元，緩刑5年定讞；民事一審則判他要賠償程女6萬元。https://i.imgur.com/3DzpgRv.jpg巴哈姆特一名版主遭玩家駭取密碼惡整。翻攝巴哈姆特網站程女提告指稱，自己是巴哈姆特某遊戲哈拉板板主，余男2019年8月在板上發文揭露該遊戲設計有個漏洞，知道的玩家可以藉此透視全場，她為了避免遊戲作弊方式遭散布，依板規刪除余男的貼文，並提報禁止他在巴哈姆特發表文章1個月。玩家嗆板主「不計代價要交代」余男火大傳訊給程女：「我沒做的事情就是沒做，我一定會不計其代價要你給交代。」但接下來的發展讓程女始料未及，她為了方便記憶，將自己許多網路帳號都設定同樣的密碼，有天她要登入蝦皮拍賣，卻發現帳號及密碼都被變更，重新設定新密碼才取回帳號。後來是中華電信帳號被駭，密碼及用於接收通知的電郵信箱都被改掉，還被申請停話，家中市話及2個手機門號都無法使用，她只好臨櫃辦理復話手續，清查之後，發現自己還有露天拍賣、Apple、Yahoo、paypal、Discord、Instagram、KKbox、niconico、Twitch、Garena、Steam等各大平台密碼都被余男嘗試更改密碼，所幸沒成功，但余男的行為害她整天惶惶不安，深怕帳戶、電話又突然無法使用或是個資遭外洩，因此向余男求償20萬元。求償案審理時，余男認罪但辯稱程女沒有實際損失，他可以賠6000元，多的也沒辦法拿出來，還說：「我當時十分氣憤，試了一萬多次密碼。」法官認定余男多次未經同意入侵程女帳號並更改密碼，甚至在臉書公布程女真實姓名，審酌後判余男要賠6萬元。可上訴。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:https://tw.nextapple.com/local/20230529/D6C79F80E76E302ECD50CE7AB541247B6.備註:到底怎麼辦到的....--月老 2.0 愛你愛你久久 2020/09/09 上線https://i.imgur.com/ZfoC3ro.jpg龍山寺月老 紅線都幫你各位求好了https://i.imgur.com/zguYZdO.jpg霞海城隍廟 兩位月老 法力加倍,推,HarshHo0606,: 人才啊..,05/29 20:50
,,,,推,v7q4,: 看我推的孩子學的,05/29 20:50
,,,,推,Oilboy,: 真愛,05/29 20:50
,,,,推,takeda3234,: 巴哈噁男-1,05/29 20:50
,,,,推,xeins,: 這個男人,05/29 20:50
,,,,推,chadmu,: 好險PTT板主只會被挖到有約炮,05/29 20:50
,,,,推,ebod221,: 是從00000000開始試嗎？,05/29 20:51
,,,,推,bbss,: 笑死 八卦台南==,05/29 20:51
,,,,推,adk147852,: 我也很好奇 是哪個白癡網站,05/29 20:51
,,,,推,kmter5566,: 是多恨試了一萬次,05/29 20:51
,,,,推,s6525480,: 滔天的恨意 拍拍,05/29 20:52
,,,,推,devidevi,: 是哪個白癡網站可以重複試的,05/29 20:52
,,,,推,sportsyzm,: 不對啊，以前被Try太多次，系統會鎖住,05/29 20:53
,,,,推,isaa,: 靠 台男真可怕,05/29 20:53
