Author,Title,Time,Content,Comment url
hbk20491 (〥夢中情一場夢〥),[問題] MOMO商品沒貨之前存在購物車還能付款,Mon Mar  6 13:30:56 2023,我有一樣商品一直放在購物車 想挑有折價券時購買我今天去看 商品頁面顯示沒貨 能訂購時候通知我 https://i.imgur.com/xvDJF3I.jpg但我之前已經把該商品加在購物車 沒貨也沒消失 https://i.imgur.com/mlrrKpN.jpg還能進入付款頁面 https://i.imgur.com/qphalxO.jpg請問這是怎回事怕按下去付款沒出貨佔用信用卡額度有人有相關經驗嗎 感謝----Sent from BePTT,https://www.ptt.cc//bbs/e-shopping/M.1678080658.A.CAB.html
baby0612 (Ivy),[問題] momo購入的戴森吸塵器,Wed Mar  1 19:12:04 2023,"在2/28連假前在momo購入一台戴森v8吸塵器在購買時網頁上有說會贈送吸塵器收納架與LED吸頭但收到商品並未收到收納架,如下圖https://imgur.com/cluhb5R2/25我發了訊息詢問客服,是否有少寄件,麻煩幫我確認客服當天有回覆說有收到我反應的問題，目前已通知相關單位處理中我留意訊或網頁回覆，若有最新進度我們會盡速通知。我今天尚未收到回覆,想請教有版友們有遇到跟我一樣的問題嗎?謝謝大家",https://www.ptt.cc//bbs/e-shopping/M.1677669127.A.BBB.html
zeor00g (羽鳥),[問題] MOMO 買到瑕疵冰箱,Tue Jan 10 12:34:42 2023,更新進度，下午有網友提醒消保官的部分我就寄了一封郵件給他們，請他們儘快給我消息，不然我要訴求消保官了結果剛剛就接到電話他們無法給我換貨但是願意給我退貨感謝各位網友幫忙，謝謝大家————————————————最近為了搬了新家然後上了momo買了一台國際牌冰箱從此噩夢開始12/27號購買  12/30送來當我滿心期待的打開冰箱後等待我的是https://i.imgur.com/xCcex7R.jpghttps://i.imgur.com/sa7yQs7.jpghttps://i.imgur.com/cdCMnve.jpg我當下反應想退貨，但是送貨員表示開箱了便不能退貨，他會幫我註記之後請原廠來換零件我也很傻很天真的同意簽收了，但是之後越想越不對勁裡面壞成這樣真的沒有撞擊到嗎？我再仔細看一次後才發現外觀有撞凹的痕跡！https://i.imgur.com/W8gxqBH.jpg我當下馬上打momo客服反應，結果得到的回應是原廠會派人來處理我最後只能看著我近4萬的冰箱等著他們來1/2號 連假結束，國際牌很快的派人過來了，但是看完後直接說是運送途中撞擊導致的，原廠不負責請我找momo處理我當下只好再打給momo，把所有的情況跟她們說一次，她們當下也回覆請我上傳照片給他們，他們會馬上處理請我等幾天然後我又很傻很天真的等了等了兩天沒有消息我又再打電話過去詢問進度，這次她們一樣很客氣很積極然後叫我再等一下到今天為止打了5-6次了吧    每次都要我等通知搬家已經忙翻天了請問大家我到底該怎麼辦？我只是想拿到我應該拿到的東西而已-----Sent from JPTT on my iPhone,https://www.ptt.cc//bbs/e-shopping/M.1673325284.A.B9D.html
hanptl0256 (梵月亮兒),[挑選] 貼身衣物手洗精BHK、RELOVE、Qmomo,Tue Jan 10 11:35:56 2023,★挑色/挑尺寸/挑款式:☆個人資料簡述:想找洗內褲好用的手洗精★挑選需求:家裡已經有白鴿的手洗精了，很方便但沒有很喜歡它的味道想買一瓶專門洗內褲跟內衣，香味好聞的(還有血可以洗比較乾淨這樣選手1號★物品連結:BHK's 貼身衣物手洗精https://bit.ly/3Wbqejn☆猶豫不決:有吃它們家的保健食品，感覺上這瓶抗念珠菌那類不錯但上面沒寫是什麼香味選手2號★物品連結:Relove私密衣物蛋白酵素去漬抑菌手洗精https://bit.ly/3X2ZSkQ☆猶豫不決:這家好像出很多私密處相關的東西，手洗精買三瓶的話價格還不錯香味也出很多種，猶豫要不要先買一瓶試試看然後它是用酵素清潔選手3號★物品連結:Qmomo貼身衣物植萃手洗精https://bit.ly/3QtBKFh☆猶豫不決:這家是內衣的牌子，沒穿過她家內衣，但內衣廠商出的洗劑會不會比較好洗?好像有加柔軟精，內褲建議用柔軟精嗎?,https://www.ptt.cc//bbs/e-shopping/M.1673321759.A.019.html
fantanstic32 (),[問題] momo Nike球鞋,Sun Jan  8 00:44:35 2023,最近看momo及pchome 網購上的球鞋，部分當季球鞋價格較實體店面便宜10~20%左右，網頁上商品的介紹與其他同廠牌的球鞋排版及介紹不同，pchome上更有同款式同型號的慢跑鞋僅球鞋的介紹及排版不同，價格差了近2成，網頁上也都標榜為原廠公司貨，想請問常網購的各位大大，pchomrue及momo網購同型號鞋子價格不同的主要原因為何?是否價格高的為原廠透過momo及pchome網購平台?價格低的則為代理商或其他公司於國外採購後透過momo及pchome上的網購平台販售?價格低的那個是正品嗎? 或者仿冒品的機率較高?或者價格差異主要為網購平台的觸銷活動，商品均為原廠公司貨?煩請解答，感激不盡！,https://www.ptt.cc//bbs/e-shopping/M.1673109877.A.D11.html
home74 (DD),[閒聊] MOMO真的獨大了？,Sat Dec 24 02:09:33 2022,不知道現在大家都習慣買哪些平台?先說一下我自己，如果是以台灣電商平台來看的話日用小物（100以下）＞＞蝦皮日用、食物、運動品牌＞＞MOMO3C、家電、急著要用的東西＞＞PChome美妝保養衣服＞＞各品牌官網不過…看到這篇討論現在台灣電商MOMO一家獨大的文章https://i.imgur.com/xoRuF0E.jpg我自己應該可以算是網購重度者（？）不管是MOMO、PChome、蝦皮、淘寶、東森、美亞、日亞、E-BAY都有在買台灣電商好像體感上還沒有完全到MOMO獨大吧？但也可能以他們的市占和收益來說是的？我自從這次雙11、雙12後，對MOMO就有點小切心了…主要是折價券好像折很多，但實際上能用的不多，有的用了還變比較貴？感覺好像在玩文字遊戲之前真的買MOMO比較多，雖然遇到一些雷點，但好幾次都想說，賭一下吧，畢竟便宜一點…結果一路到了現在...有時候比價比一比，發現PChome好像不像之前以為的會比較貴，大多數價格都差不多，加上折價券之後，有的甚至還比較便宜，然後偶爾也會看到東森有很殺的價格雖然拿特定商品來比較哪裡比較便宜有一點不準確，不過單論上次我覺得MOMO折價券沒誠意改其他通路買後，才發現，MOMO難道就是因為覺得自己是老大了，才想說不用再那麼優惠嗎？大節日物流出狀況什麼的很正常，不過MOMO客服除了難找，還沒辦法當下解決，補償也很爛= =因為之前很愛買所以有加MOMO社團，不時也會看到別人抱怨客服鬼打牆，處理問題沒有誠意，或是mo幣不退等等問題這點我覺得不用說其他平台，光是隔壁PC家就贏了很多，至少退貨從來不囉唆，商品優惠的話很多都是美亞獲勝，所以看到報導說MOMO一家獨大，我想到說這樣對消費者真的是好事嗎…就跟一黨獨大是一樣的道理吧？感覺還是需要競爭者和有對比組才能促進成長，不然要是龍頭擺爛，消費者也沒辦法說什麼….？大家對於這點是怎麼看的呢？台灣電商真的只剩下MOMO了？,https://www.ptt.cc//bbs/e-shopping/M.1671818975.A.C0E.html
chen1025 (小陳),[閒聊] 關於momo和pchome的銷售排行榜,Thu Dec  8 20:44:53 2022,"這邊有兩篇pchome和momo的上半年銷售額排行，有興趣的可以參考，基本上商品的強項都是蘋果為主，因為單價高，銷售金額也高。但如果扣除蘋果商品，momo是以民生用品為主，pchome以3C商品為主。比較特別的是momo的律動機排在前面，應該是有電視購物的關係。一台律動機也蠻貴的，所以是高價格產品，所以也很容易排在前面。(大家都懶得動?)pchome銷售額排行(top100)：https://www.amiko.net/archives/3508momo銷售額排行(top100)：https://www.amiko.net/archives/3511[pchome銷售額前15名]1.AirPods Pro (MLWK3TA/A)2.Apple Watch Series 7 GPS, 45mm Midnight Aluminium Case with Midnight SportBand3.Apple iPhone 13 Pro (256G)-天峰藍色(MLVP3TA/A)4.Apple iPhone 13 (128G)-粉紅色(MLPH3TA/A)5.Apple iPhone 13 Pro (128G)-天峰藍色(MLVD3TA/A)6.Apple iPhone 13 Pro Max (256G)-天峰藍色(MLLE3TA/A)7.MacBook Air 13: Apple M1 chip 8-core CPU and 7-core GPU,256GB-Space Grey(MGN63TA/A)8.任天堂 Nintendo Switch（OLED款式）白色 台灣公司貨9.Apple iPhone 13 (128G)-午夜色(MLPF3TA/A)10.Apple iPhone 13 (128G)-星光色(MLPG3TA/A)11.Apple iPhone 13 (128G)-藍色(MLPK3TA/A)12.Apple iPhone 13 Pro Max (256G)-金色(MLLD3TA/A)13.Apple Watch Series 7 GPS, 45mm Starlight Aluminium Case with StarlightSport Band14.AirPods (第 3 代)15.WD Ultrastar DC HC550 企業級 16TB/7200轉/512MB/3.5吋/5Y (WUH721816ALE6L4)[momo銷售額前15名]1.Apple 蘋果 iPhone 13 256G(6.1吋)2.Apple 蘋果 iPhone 13 128G(6.1吋)3.Apple 蘋果 iPhone 13 128G(6.1吋)(超值殼貼組)4.輝葉全身氣動循環垂直健康養生律動機5.Apple 蘋果 iPhone 13 Pro 256G6.iNO 太空人垂直律動機(P600)7.dyson 戴森 SV15 V11 Absolute Extra 無線吸塵器 雙頭旗艦款(內附13配件大全配)8.Apple 蘋果 iPhone 13 Pro 128G9.Apple 蘋果 iPhone 13 Pro 256G(6.1吋)(超值殼貼組)10.輝葉 COZY FIT 律動奇機(垂直律動機/HY-806)11.Frigidaire富及第 11L新1級省電清淨除濕機(FDH-1131Y / FDH-1135Y)12.Apple 蘋果 iPhone 13 Pro Max 256G(6.7吋)13.倍潔雅 花漾柔感抽取式衛生紙(150抽84包/箱)14.保護套+繩組Apple 蘋果 AirPods Pro 搭配MagSafe(MLWK3TA/A)15.TECO 東元 4-6坪 R32一級變頻冷暖分離式空調(MA28IH-HL/MS28IH-HL)",https://www.ptt.cc//bbs/e-shopping/M.1670503497.A.310.html
ndhuwei (turtlenick),Re: [抱怨] MOMO行銷活動不實，騙消費者下單購買,Fri Nov 18 12:42:52 2022,二更進度11/18（五）下午孫專員來電，說他們當時看不到那則簡訊，所以以為是我自己誤會，拿簡訊去跟相關部門談之後他們就立刻同意個案回饋我應有的點數預計2到5個工作天入帳結案！但依板規，文章不會刪除--------------------------------更新一下進度另外不知道有沒有人可以幫忙轉傳原文到八卦板（登入次數不夠QQ）11/14（一）專案主管打電話來，我沒接到回撥問客服，客服跟我說主管還在跟相關部門溝通，請我稍等11/17（四）收到簡訊告知我的貨物已經送達https://i.imgur.com/f7YUEdq.jpg我打回去客服問說客服是不是根本搞不清楚現在的問題是什麼，客服說他們知道是MO幣回饋的問題，目前還在溝通確認中，這個只是寄簡訊跟我說物品確定已經送達我上週確實也有詢問物品哪時會送到，但我都收到一週了才寄給我，到底什麼意思？11/18（五）中午孫專員來電，說很抱歉當時寄的簡訊讓我誤會，但目前溝通到還是只能補償200MO幣加2張500元折價券我聽到這這個冒火，等了一週結果給我一樣的答案，而且主管現在才說要我提供當時寄給我說有15%的回饋的簡訊，讓他們可以再去跟相關部門溝通https://i.imgur.com/wLqmB4B.jpg但我上週五打給另一位專員的時候，那個專員明明有看到簡訊內容（所以才能跟我辯「不相關」的意思），而且如果孫專員不知道簡訊內容，為什麼直到今天都還在辯稱簡訊文字讓我「誤會」現在我已經把當時的簡訊截圖回傳了，孫專員還特別提到要附上簡訊的去電號碼和日期，說「不然有可能是你朋友傳給你（意指可能是我故意跟他們拗回饋）」https://i.imgur.com/mpz1Erc.jpg都已經特別事先詢問才下單現在還要花這麼多心力才有可能拿回本來就屬於我的回饋毫無誠信的噁心企業※ 引述《ndhuwei (turtlenick)》之銘言：: ＊抱怨文一旦發文超過10分鐘即不可自行刪除，違反直接水桶5年。:   是否已經閱讀過相關新規定？(請回答Y/N)：Y: ＊店家名稱：MOMO購物: ＊店家連結：:  https://momo.dm/vzjjvZ: ＊商品名稱：【SAMSUNG 三星】The Freestyle HDR10微型投影機(SP-LSP3BLAXZW): ＊溝通截圖：: https://i.imgur.com/G39m43i.jpg: https://i.imgur.com/XXMbnui.jpg: ＊商品照片：: https://i.imgur.com/OkcMpRi.jpg: https://i.imgur.com/hTYW5rG.jpg: https://i.imgur.com/cH582kB.jpg: https://i.imgur.com/4dh8XNm.jpg: https://i.imgur.com/5gCwOsj.jpg: https://i.imgur.com/3AKlHiR.jpg: ＊事發經過：: 最近想買這個產品，看到商品頁左上角有「刷MO卡+登記送10%」（商品圖1）: 同時底下的活動有一點是「滿25000登記送5%」: 我覺得很納悶，如果那個促銷資訊是指在MOMO指定品牌刷MO卡有10%回饋，那個10%MO幣回: 饋應該是不用登記的: 於是我在11月6日晚上去電詢問左上角圖標是不是寫錯？還是標示的10%MO幣是指加上滿25: 000登記的5%？: 客服記錄問題之後，在隔天11月7日傳簡訊給我（商品圖4），跟我說所謂的10%是指MO卡5: %+MO卡品牌回饋5%計10%，滿25000的5%另外算，也就是總共15%回饋: 算了一下，刷MO卡可以折3885元: 於是比較之後就在MOMO買了: 結果購買之後，MOMO寄簡訊來: 跟我說所謂的10%已加上登記送的5%（商品圖5）: 昨天開始打電話去跟他們反映，今天上午9點多有一通電話沒接到: 於是我在12點多回撥，客服跟我說是一位孫姓專案主管處理的，跟我說孫主管是要跟我說: 經客服部和行銷部了解和協商後，可以補給我200元MOMO幣，我跟客服表示原本說好15%變: 成只有10%是少了1295元MO幣，我不可能接受只補償200元MO幣給我，客服表示會請主管再: 來電: 後來14點39分那通我又沒接到: 於是我在17點多再度回撥，客服說專案主管在通話，會請他回電: 但等了20分鐘後還是沒有接到電話: ，回撥客服，客服一樣說主管在通電話，已經幫我請主管回電: 結果，18點08分突然收到他們說聯繫不上，所以寄簡訊跟我說維持原方案（只補償200元M: O幣），後來我再回電，客服說孫主管已經下班了！: 19時45分，另一個專案主管來電，開頭就想要用話術推卸責任，說「很抱歉當時回復的文: 字讓您誤解」: 我回專案主管說，我知道客服都要學話術，但這絕對不是什麼誤解或是溝通誤會，不用拿: 這種話術唬弄我，專案主管才說會再跟行銷部門協調，但要等下週才能有結果: ---------------------------------: 雙11各大通路都有活動，我在看到MOMO的行銷前還特地先打去詢問遊戲規則才購買的，現: 在給我的回饋跟前幾天向我說的規則差了1295元: 而且配合的經銷商大概也沒灌腦漿，: 把保固書直接黏死在產品外盒正面到底是有沒有長腦？（圖6）: 撕下來的話紙箱上也掉一層皮了: 就算MOMO讓我退貨好了，雙11活動都打得差不多了，現在哪裡去找相當於當初的行銷回饋: 的通路購買？: 用這種方式騙消費者下單，東西送到之後再跟消費者說當初回饋說錯了不算: 再次看清富邦就是說話不算話，沒有誠信的惡劣集團,https://www.ptt.cc//bbs/e-shopping/M.1668746574.A.541.html
irencryingl (照燒明蝦),[閒聊] momo跟好市多網購小家電哪個好,Tue Nov 15 15:45:15 2022,最近想買萬用鍋跟吸塵器這種小家電，雙11沒能搶到最優惠，就想說乾脆多比幾家再決定搜板上的文發現momo雖然贈品多但是有些人有不愉快經驗，好市多則是可能現場會更多優惠(尤其之後有黑五)，原廠官網好像也是一個選擇大家家電都在哪裡買呢？如果可以的話想知道大家的網購這兩種家電的經驗當參考,https://www.ptt.cc//bbs/e-shopping/M.1668498317.A.27A.html
nennykkk (胖傑尼胖),[問題] 請問momo 購物的寄送時間,Tue Nov 15 14:40:25 2022,我12日晚上10點多訂了2單momo 購物的東西，選擇小七取貨，系統付款完畢後顯示貨物狀態是「撿貨」，並說14日會寄出，但是一直到現在我上去看狀態就是停在「撿貨」，都沒有任何更新，也不知道這次的算不算雙11購物的貨會被delay？請問有人最近訂購有遇到這種狀況嗎？看新聞不是說今年雙11買氣不好？包裝一個物品有需要那麼久嗎？（非預購類商品）再請大家分享經驗或給點建議，謝謝！,https://www.ptt.cc//bbs/e-shopping/M.1668494427.A.C00.html
