id,source,keyword,time,comment,score
69,PTT,蝦皮,2023-06-03,2.不會，訂單的到期日和寄件編號的到期,0.000035
70,PTT,蝦皮,2023-06-03,賣家是有主打快速出貨嗎？不然下單一直催,0.000076
71,PTT,蝦皮,2023-06-03,下單當天催出貨，隔天又「善意提醒」出貨，,0.000063
72,PTT,蝦皮,2023-06-04,"是我就直接取消訂單了 這如果收到貨有",0.000034
73,PTT,蝦皮,2023-06-02,"無解 你只能取消訂單 或是等到被取消",0.000033
74,PTT,蝦皮,2023-06-02,賣家被扣那個點數根本不痛不癢,0.000033
75,PTT,蝦皮,2023-06-02,賣家也知道取消會被扣分，你叫他自己取消他,0.000033
76,PTT,蝦皮,2023-06-02,沒有出貨的訂單，時間到就會自己取消了,0.000033
77,PTT,蝦皮,2023-06-02,訊息又回很快說馬上出，超煩的,0.001134
78,PTT,蝦皮,2023-06-02,下單後一直催催催，你也是蠻煩人的，人,0.000068
79,PTT,蝦皮,2023-06-03,"這種都直接按取消訂單 換一家買了 幹麼跟他",0.000033
80,PTT,蝦皮,2023-06-03,"耗?? 有的你按取消還拒絕火速給你出貨咧....",0.000037
81,PTT,蝦皮,2023-06-03,"現貨一天內沒給我出貨 我都想取消 換一家買",0.000033
82,PTT,蝦皮,2023-06-03,意這些的賣家。我會自己取消訂單趕快結,0.000033
83,PTT,蝦皮,2023-06-03,束這段孽緣，取貨再退也很浪費自己的時,0.000033
84,PTT,蝦皮,2023-06-03,日不一定一樣，寄件編號申請後會有一個,0.000034
85,PTT,蝦皮,2023-06-03,寄件編號失效日，在編號失效前寄出訂單,0.000034
86,PTT,蝦皮,2023-06-03,取消比較快，我沒記錯的話，不成立率,0.001426
87,PTT,蝦皮,2023-06-03,只會統計?天內的，過了又是一尾活龍,0.000033
88,PTT,蝦皮,2023-06-03,我是賣家的話會直接放到最後一天再出,0.000039
89,PTT,蝦皮,2023-06-03,不要在pc跟momo以外的地方尋求快速出貨好嗎,0.040836
90,PTT,蝦皮,2023-06-04,"我也覺得妳催太緊 即使是標明現貨",0.000033
91,PTT,蝦皮,2023-06-04,"三天內寄出都還算合理 不會想去催",0.000033
92,PTT,蝦皮,2023-06-04,"妳一下單就在問 讓人感覺壓力很大",0.007848
93,PTT,蝦皮,2023-06-04,"況且系統都說了 她6/1沒出會被取消啊",0.000033
94,PTT,蝦皮,2023-06-04,"被取消她就會被扣分了 不曉得妳在急",0.000035
95,PTT,蝦皮,2023-06-04,看標題還以為是拖多久了還是,0.001247
96,PTT,蝦皮,2023-06-04,"不給妳寄出 結果過程才短短",0.00004
97,PTT,蝦皮,2023-06-09,5/28賣家有告訴你當天出貨嗎？既然很,0.008283
98,PTT,蝦皮,2023-06-09,急其實早就應該取消了?為何繼續等呢,0.000113
99,PTT,蝦皮,2023-06-09,一直催確實滿令人討厭的，要嘛先說好,0.001522
100,PTT,蝦皮,2023-06-09,，不過看這不成立率也能了解,0.00944
101,PTT,蝦皮,2023-06-03,下單後每天催，那麼急幹嘛不在下單前先問,0.000042
102,PTT,蝦皮,2023-06-02,"全退互不能評 沒全退則可以",0.000034
103,PTT,蝦皮,2023-06-01,整筆退的話不能互相評價，退其中幾個,0.000033
104,PTT,蝦皮,2023-06-01,的話，雙方還是可以評價沒退貨的東西,0.000054
105,PTT,蝦皮,2023-06-02,若是賣家給你報復性差評，你可以在,0.000033
106,PTT,蝦皮,2023-06-02,差評上留言讓其他人看到回覆，其他,0.000042
107,PTT,蝦皮,2023-06-02,"賣家可以封鎖你 拒絕跟你買賣",0.000035
108,PTT,蝦皮,2023-06-02,評價只有買賣完成以後才能評,0.001005
109,PTT,蝦皮,2023-06-02,所以賣家如果故意開低價亂市場,0.000131
110,PTT,蝦皮,2023-06-02,"然後不出貨 買家也沒辦法用評論的方",0.000097
111,PTT,蝦皮,2023-06-02,"式告知其他買家 我覺得這點滿鳥的啦",0.000121
112,PTT,蝦皮,2023-06-02,畢竟不出貨最多就加點取消率,0.000942
113,PTT,蝦皮,2023-06-02,可是你搶到的優惠券不會退給你,0.000039
114,PTT,蝦皮,2023-06-02,"取消率每一期也會自動歸零 根本不痛",0.000033
115,PTT,蝦皮,2023-06-02,"不癢 我覺得這點對買家滿虧的",0.000061
116,PTT,蝦皮,2023-05-30,如果還沒過七天鑑賞期，我會申請退貨,0.000033
117,PTT,蝦皮,2023-05-30,淘寶貨吧，沒有售後的話還不如自己淘,0.000728
