Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
,,,,推,momicats,: pchome以前的優勢完全沒了，現在都改買momo,"['09/26', '13:23']"
,,,,推,firstlead,: 現在去哪間便宜買哪間,"['09/26', '13:24']"
,,,,推,chimouse,: 桃園原本都可以今天訂明天到 現在常常要等到後天,"['09/26', '14:11']"
,,,,推,style16883,: 好久沒買pc了,"['09/26', '14:32']"
,,,,推,mimiwu,: 上禮拜三晚上訂隔天就到了,"['09/26', '14:53']"
,,,,推,superluminal,: 就連Line導購也調降成0%了！,"['09/26', '15:02']"
,,,,推,vvallis,: 有嗎？,"['09/26', '17:09']"
,,,,→,castjane,,"['09/26', '12:59']"
,,,,→,chirex,: 現在都改買momo了,"['09/26', '13:04']"
,,,,→,maw1019,: 感覺現在都差不多 真的是哪間便宜買哪間了,"['09/26', '13:44']"
,,,,→,mazinnng,: momo現在也超慢啊啊啊,"['09/26', '14:29']"
,,,,→,giaza,: 現在很少用PC了,"['09/26', '14:46']"
,,,,→,dndndn11,: 沒在用pchome 都用momo覺得超快,"['09/26', '15:55']"
,,,,→,AliSonTsang,: 自從疫情後就,"['09/26', '16:14']"
,,,,→,ddcct,: 現在感覺用起來都差不多,"['09/26', '16:52']"
,,,,→,dodoro122,: 有嗎? 我訂PC24H還是很快欸@@?反而是MOMO的快速到貨每,"['09/29', '19:35']"
,,,,→,dodoro122,: 次都烙賽，如果真的要網購緊急的話我還是用PChome，不,"['09/29', '19:35']"
,,,,→,dodoro122,: 趕的話其實蝦皮就好，因為被MOMO雷過太多次所以都不用M,"['09/29', '19:35']"
,,,,→,dodoro122,: OMO了,"['09/29', '19:35']"
MT6797 (Helio-X20),[閒聊] 大家使用PCHome 24H網購的準時到貨率？,Sun Jun 19 15:50:17 2022,平時雜事眾多，生活忙碌，有時實在抽不出時間去賣場補貨，這時選擇網購就真的很方便。其中PChome標榜24小時內到貨，大家實際使用的準時到貨率如何呢？個人觀察，似乎跟物流業者有關，如果是投黑貓之類，幾乎都能準時。但有時是投郵局，從過往小樣本經驗來看，幾乎肯定又準備領100元遲到補償金了，超爽的。如果不差一兩天時間收貨的話，我每次下單完都默默禱告一下，希望這次出貨是投郵局。--果然賈布跟著便道：「只不過三位武功太高，倘若行到中途，忽然改變主意，不願去黑木崖了，我們可無法交差，吃罪不起，因此斗膽向三位借三隻右手。」令狐沖暗自尋思：「我已經有盈盈了，這右手在與不在，卻也差別不大。生死事大，這右手便予了他，卻又何妨？」卻見沖虛、方證兩人臉色倏然大變，方證更是破口大罵：「魔教妖人，當真欺人太甚，老衲和你拼了！」,推,watson8132,: 24D,"['06/19', '15:56']"
,,,,推,gogoto990,: 快被momo打趴惹..,"['06/19', '16:04']"
,,,,推,SnowAmy,: 早就把那賠款加在成本售價裡惹啦 XDD,"['06/19', '16:04']"
,,,,推,mayu0326,": 台北100%準時,i郵箱隔天一定到,宅配有14點出貨16點到過","['06/19', '16:05']"
,,,,推,mathrew,: 晚兩天，拿100元比較爽,"['06/19', '16:07']"
,,,,推,marsonele,: 我家新北無論momo pc基本上都是隔天到,"['06/19', '16:27']"
,,,,推,WFSGT,: 雙北應該沒差,"['06/19', '16:30']"
,,,,推,whoismama,: 我這區pchome比momo快，pchome有時候半夜訂早上就到了,"['06/19', '17:13']"
,,,,推,blueberrypie,: 幾乎都準時到，只有一次晚到了一點,"['06/19', '19:46']"
,,,,推,blueberrypie,: momo碰到有檔期的時候可能就會卡住,"['06/19', '19:50']"
,,,,推,blueberrypie,: 我朋友還會特別研究pchome在哪個時段下單特別容易遲,"['06/19', '21:17']"
,,,,推,dodoro122,: 我反而是momo這陣子超慢欸，等了三天都沒來，後來改下,"['06/21', '00:42']"
,,,,推,sixeriverson,: 現在618 一堆物流都有狀況，但只有pc有100可以領,"['06/21', '01:44']"
,,,,推,EEloveyou,: 我還寧願慢個兩天，可以領100欸,"['06/21', '10:57']"
,,,,→,RaiGend0519,: 一半一半,"['06/19', '16:11']"
,,,,→,whoismama,: ，不過去年疫情期間等很久,"['06/19', '17:13']"
,,,,→,labell,: 沒到貨就拿100,"['06/19', '17:42']"
,,,,→,jhun,: 極低，拿到一百也要在花個幾百才能全部使用及免運，期效也只,"['06/19', '18:14']"
,,,,→,jhun,: 有一個月，其實很爛,"['06/19', '18:14']"
,,,,→,browniefish,: 新北+1 超快,"['06/19', '18:33']"
,,,,→,OrcDaGG,: 我不喜歡宅配，都選超商取貨，想到才去拿,"['06/19', '18:43']"
,,,,→,snowcyn32,: MOMO最近超慢，都超過24小時,"['06/19', '19:00']"
,,,,→,jajoy,: 禮拜五買 昨天到,"['06/19', '19:40']"
,,,,→,labell,: Mimi沒送100 寧可慢一點拿100元,"['06/19', '19:46']"
,,,,→,labell,: M O M O,"['06/19', '19:46']"
,,,,→,blueberrypie,: 訂momo連週日早上都還會收到貨（禮拜六凌晨訂貨），,"['06/19', '19:47']"
,,,,→,blueberrypie,: momo的到貨準時度比pchome更厲害了,"['06/19', '19:47']"
,,,,→,bident,: PChome24h 還是最快的 急用還是要靠它,"['06/19', '19:49']"
,,,,→,XDdong,: 這半年買過兩次 都遲到,"['06/19', '20:19']"
,,,,→,james1201,: 以前還可以 這兩年從沒準時過,"['06/19', '20:52']"
,,,,→,labell,: 遲到領一百更好 不急,"['06/19', '21:06']"
,,,,→,blueberrypie,: 到XD,"['06/19', '21:17']"
,,,,→,zscst,: 台北市區 半年來買的東西都24小時內能拿到,"['06/20', '09:12']"
,,,,→,dodoro122,: 訂pchome隔天就到了,"['06/21', '00:42']"
timmy999 (憤怒a小妹),[閒聊] pchome上會有假貨嗎？,Tue Nov 16 16:24:02 2021,小妹的摩洛哥髮油用完了 原本想叫媽咪幫我買 但是媽咪說不要在網路上買這很多假貨剛剛看pchome上面有 小妹可以在pchome上買嗎？,推,wawaking1,: 你覺得pchome 跟一般個人誰比較會賣假貨？賣假貨誰有,"['11/16', '19:00']"
,,,,推,evan5885,: 有詐騙,"['11/17', '10:54']"
,,,,推,agatha0728,: 推蝦皮，商城有蠻多大品牌進駐的，時不時有活動可以撿,"['11/17', '12:19']"
,,,,→,VVizZ,: 24H沒有 商店街我不確定,"['11/16', '16:27']"
,,,,→,zx7957,: 購物中心的比較不用擔心,"['11/16', '16:53']"
,,,,→,a27588679,: 記得新聞報過有人在百貨公司買到假的LV 實體店不一定真,"['11/16', '17:09']"
,,,,→,adeson,: 有那種旗艦店的應該就都是正貨,"['11/16', '17:37']"
,,,,→,j855081221,: 不能說沒可能但應該機率比較低,"['11/16', '18:03']"
,,,,→,wawaking1,: 能力賠償？,"['11/16', '19:00']"
,,,,→,wawaking1,: 高價商品我不會去蝦皮買,"['11/16', '19:00']"
,,,,→,agatha0728,: 便宜,"['11/17', '12:19']"
