Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ymx3xc (多多),Re: [討論] 抖音真的不是什麼好平台吧,Sat Feb  4 22:44:21 2023,"※ 引述《tu889ifa (Lemon)》之銘言：: 看日本壽司郎抖音新聞覺得很可怕XD: 真的是抖音一響父母白養: 之前也有看到美國31州禁抖音的消息: 明明沒有抖音也有其他平台可正常使用的情況下: 到底為什麼會非得要用抖音: 也不能理解支持抖音繼續存在的理由到底是什麼: 明明抖音的文化危害真的很多啊!!: 打一打開始擔心是不是反抖音就會變成綠蛆==很簡單有這個疑問的 去接觸一下小學生你就會有答案了 而且是很肯定的答案現在幾乎每個小學生 都在唱抖音歌跳抖音舞都是一些很弱智的內容 習慣成自然滿嘴支語你知道我第一次親眼看見 小學生喊 ""走你"" 心理多震撼嗎==這跟什麼民主開放 世界潮流之類的 真的無關成年人看抖音我沒意見但重點是 小學生會被洗腦成弱智我覺得真的不行",推,Nemophila,: 不是變成「弱智」，孩子不見得有你想的那麼蠢，只是這,"['02/04', '22:59']"
,,,,推,almondchoco,: 重點是抖音上面很難有有價值的內容,"['02/04', '23:06']"
,,,,推,ethel617,: 小學生確實蠻喜歡唱跳抖音歌舞，但影響沒想像中大,"['02/05', '10:39']"
,,,,推,her0418,: 沒錯，支語就是弱智，這不是普世觀念嗎XD,"['02/07', '01:18']"
,,,,→,ken12121984,: 成人也會被洗腦成弱智，而且，語言是不同國家的文化,"['02/04', '22:55']"
,,,,→,ken12121984,: ，說走你不會比較弱智，說Go也不會比較高級好嗎，支,"['02/04', '22:55']"
,,,,→,ken12121984,: 語警察比較弱智,"['02/04', '22:55']"
,,,,→,Nemophila,: 種短視頻看久了 可能注意力很難長期集中，他養成習慣,"['02/04', '22:59']"
,,,,→,Nemophila,: 啦 不想看就滑掉換下一個,"['02/04', '22:59']"
,,,,→,Nemophila,: 妳看國外的迷因圖也會知道 你看得到那種「弱智化」圖,"['02/04', '23:00']"
,,,,→,Nemophila,: 像是現在的趨勢,"['02/04', '23:00']"
,,,,→,almondchoco,: 臉書至少還可以 抖音真的很難,"['02/04', '23:07']"
,,,,→,GeogeBye,: 人都是懶的 只要能短時間提供愉悅的享受 就會受到群眾青,"['02/05', '00:54']"
,,,,→,GeogeBye,: 睞,"['02/05', '00:55']"
,,,,→,deepdish,,"['02/05', '02:16']"
,,,,→,deepdish,: 重點是在背後操控公司的不透明,"['02/05', '02:16']"
,,,,→,Saaski,: 支那人少在那邊拿政治正確掩護,"['02/05', '17:50']"
,,,,噓,Saaski,: 文化有高低之分，支語就是弱智,"['02/05', '17:48']"
tu889ifa (Lemon),[討論] 抖音真的不是什麼好平台吧,Sat Feb  4 14:04:25 2023,看日本壽司郎抖音新聞覺得很可怕XD真的是抖音一響父母白養之前也有看到美國31州禁抖音的消息明明沒有抖音也有其他平台可正常使用的情況下到底為什麼會非得要用抖音也不能理解支持抖音繼續存在的理由到底是什麼明明抖音的文化危害真的很多啊!!打一打開始擔心是不是反抖音就會變成綠蛆==,推,mason710,: 就抖音國際版太自由啊,"['02/04', '14:10']"
,,,,推,mlsini,: 美國禁抖音 那是因為他是中國企業 怕牠網路竊聽那類...,"['02/04', '14:10']"
,,,,推,Nemophila,: 我覺得問題在於現在人對影片的接受度大增 很多人不需要,"['02/04', '14:21']"
,,,,推,Nemophila,: 畢竟 他只是一個供創作者上傳影片的平台,"['02/04', '14:23']"
,,,,推,Nemophila,: #短影片,"['02/04', '14:26']"
,,,,推,realmd,: 抖音制造低能(X) 抖音讓低能現形(O),"['02/04', '14:33']"
,,,,推,howzantt,: 不只是抖音,"['02/04', '14:38']"
,,,,推,RebootNation,: 國際版根本沒有什麼管制,"['02/04', '14:39']"
,,,,推,sdamel,: 你知道古代有一段時間小孩撿到四書五經在那邊讀回去會被父,"['02/04', '15:36']"
